"instance","method","distance","vehicles","ontime_p50","ontime_p95","family"
"C101","Gamma1","1495.526","12","24.0","24.0","C"
"C102","Gamma1","1401.865","11","38.0","38.0","C"
"C103","Gamma1","1235.549","10","53.0","55.0","C"
"C104","Gamma1","1193.012","10","74.74747474747475","74.74747474747475","C"
"C105","SAA16-b0p3","890.0","10","21.0","21.0","C"
"C106","SAA16-b0p3","888.0","10","23.0","24.0","C"
"C107","SAA16-b0p3","881.0","10","23.0","23.0","C"
"C108","SAA16-b0p3","881.0","10","26.0","27.0","C"
"C109","Q120","953.0","11","38.0","39.0","C"
"C201","SAA16-b0p3","1025.0","10","29.0","30.0","C"
"C202","SAA16-b0p3","1023.0","10","59.0","59.0","C"
"C203","SAA16-b0p3","1015.0","10","73.0","73.0","C"
"C204","SAA16-b0p3","978.0","10","87.0","88.0","C"
"C205","SAA16-b0p3","1019.0","10","33.0","33.0","C"
"C206","Gamma1","1280.726","10","35.0","35.0","C"
"C207","SAA16-b0p3","993.0","10","47.0","47.04999999999998","C"
"C208","Gamma1","1274.661","10","43.0","44.0","C"
"R101","SAA16-b0p3","1781.0","20","31.0","33.0","R"
"R102","SAA16-b0p3","1602.0","19","39.0","41.0","R"
"R103","SAA16-b0p3","1310.0","15","36.0","39.0","R"
"R104","SAA16-b0p3","1106.0","10","36.0","41.04999999999998","R"
"R105","SAA16-b0p3","1488.0","15","27.0","28.0","R"
"R106","SAA16-b0p3","1327.0","13","31.0","37.0","R"
"R107","Gamma1","1668.271","14","45.0","51.0","R"
"R108","Gamma1","1460.792","12","53.0","60.04999999999998","R"
"R109","Gamma1","1793.899","15","33.0","36.0","R"
"R110","Gamma1","1685.51","14","39.0","44.0","R"
"R111","Gamma1","1679.263","14","48.0","52.04999999999998","R"
"R112","Gamma1","1447.065","13","47.5","56.0","R"
"R201","Gamma1","1648.3","8","28.0","31.0","R"
"R202","Gamma1","1492.934","8","36.0","38.0","R"
"R203","Gamma1","1373.195","8","55.0","57.0","R"
"R204","Gamma1","1165.565","8","84.0","87.0","R"
"R205","SAA16-b0p3","1111.0","8","32.0","33.0","R"
"R206","SAA16-b0p3","1042.0","8","46.5","52.0","R"
"R207","Gamma1","1241.388","8","68.0","71.0","R"
"R208","SAA16-b0p3","905.0","8","92.0","93.0","R"
"R209","Gamma1","1279.005","8","51.0","53.0","R"
"R210","Gamma1","1307.573","8","60.0","61.0","R"
"R211","SAA16-b0p3","921.0","8","75.0","79.0","R"
"RC101","SAA16-b0p3","1792.0","16","27.0","29.0","R"
"RC102","SAA16-b0p3","1667.0","14","35.0","44.0","R"
"RC103","Gamma1","2223.757","16","49.0","55.0","R"
"RC105","SAA16-b0p3","1711.0","15","32.0","36.0","R"
"RC106","Gamma1","2231.18","18","39.0","41.0","R"
"RC107","Gamma1","1997.784","16","40.0","44.0","R"
"RC108","Q120","1367.0","13","55.0","62.0","R"
"RC201","SAA16-b0p3","1495.0","9","29.0","30.0","R"
"RC202","Gamma1","1778.753","9","43.0","44.0","R"
"RC203","SAA16-b0p3","1184.0","9","60.0","64.0","R"
"RC204","Gamma1","1402.809","9","83.0","88.0","R"
"RC205","SAA16-b0p3","1463.0","9","32.0","34.0","R"
"RC206","Gamma1","1727.978","9","40.0","43.0","R"
"RC207","SAA16-b0p3","1220.0","9","50.0","53.0","R"
"RC208","Gamma1","1444.052","9","77.0","80.04999999999998","R"
"RC104","SAA16-b0p3","1277.0","11","49.5","55.04999999999998",
