instance,method,distance,vehicles,ontime_p50,ontime_p95
C101,Gamma1,890.0,10,20.0,20.0
C101,SAA16-b0p3,890.0,10,20.0,20.0
C102,Gamma1,886.0,10,29.0,29.0
C102,SAA16-b0p3,886.0,10,29.0,29.0
C103,Gamma1,916.0,10,51.0,51.0
C103,SAA16-b0p3,916.0,10,51.0,51.0
C104,Gamma1,858.0,10,70.70707070707071,70.70707070707071
C104,SAA16-b0p3,858.0,10,70.70707070707071,70.70707070707071
C105,SAA16-b0p3,890.0,10,21.0,21.0
C106,SAA16-b0p3,888.0,10,23.0,24.0
C107,SAA16-b0p3,881.0,10,23.0,23.0
C108,SAA16-b0p3,881.0,10,26.0,27.0
C109,Q120,903.0,10,33.0,34.0
C109,SAA16-b0p3,903.0,10,33.0,34.0
C201,SAA16-b0p3,1025.0,10,29.0,30.0
C202,SAA16-b0p3,1023.0,10,59.0,59.0
C203,SAA16-b0p3,1015.0,10,73.0,73.0
C204,SAA16-b0p3,978.0,10,87.0,88.0
C205,SAA16-b0p3,1019.0,10,33.0,33.0
C206,Gamma1,1011.0,10,33.0,34.0
C206,SAA16-b0p3,1011.0,10,33.0,34.0
C207,SAA16-b0p3,993.0,10,47.0,47.04999999999998
C208,Gamma1,1017.0,10,33.0,33.0
C208,SAA16-b0p3,1017.0,10,33.0,33.0
R101,SAA16-b0p3,1781.0,20,31.0,33.0
R102,SAA16-b0p3,1602.0,19,39.0,41.0
R103,SAA16-b0p3,1310.0,15,36.0,39.0
R104,SAA16-b0p3,1106.0,10,36.0,41.04999999999998
R105,SAA16-b0p3,1488.0,15,27.0,28.0
R106,SAA16-b0p3,1327.0,13,31.0,37.0
R107,Gamma1,1183.0,11,29.0,35.0
R107,SAA16-b0p3,1183.0,11,29.0,35.0
R108,Gamma1,1059.0,10,38.0,45.0
R108,SAA16-b0p3,1059.0,10,38.0,45.0
R109,Gamma1,1292.0,13,31.0,36.0
R109,SAA16-b0p3,1292.0,13,31.0,36.0
R110,Gamma1,1207.0,12,36.0,39.0
R110,SAA16-b0p3,1207.0,12,36.0,39.0
R111,Gamma1,1169.0,12,37.0,41.0
R111,SAA16-b0p3,1169.0,12,37.0,41.0
R112,Gamma1,1069.0,12,47.0,53.0
R112,Q120,1069.0,12,47.0,53.0
R201,Gamma1,1270.0,8,19.0,20.0
R201,SAA16-b0p3,1270.0,8,19.0,20.0
R202,Gamma1,1171.0,8,32.5,37.0
R202,SAA16-b0p3,1171.0,8,32.5,37.0
R203,Gamma1,1024.0,8,51.0,56.0
R203,SAA16-b0p3,1024.0,8,51.0,56.0
R204,Gamma1,930.0,8,75.0,77.0
R204,SAA16-b0p3,930.0,8,75.0,77.0
R205,SAA16-b0p3,1111.0,8,32.0,33.0
R206,SAA16-b0p3,1042.0,8,46.5,52.0
R207,Gamma1,960.0,8,66.0,71.0
R207,SAA16-b0p3,960.0,8,66.0,71.0
R208,SAA16-b0p3,905.0,8,92.0,93.0
R209,Gamma1,1037.0,8,41.0,46.0
R209,SAA16-b0p3,1037.0,8,41.0,46.0
R210,Gamma1,1034.0,8,48.0,52.0
R210,SAA16-b0p3,1034.0,8,48.0,52.0
R211,SAA16-b0p3,921.0,8,75.0,79.0
RC101,SAA16-b0p3,1792.0,16,27.0,29.0
RC102,SAA16-b0p3,1667.0,14,35.0,44.0
RC103,Gamma1,1379.0,12,35.0,41.0
RC103,SAA16-b0p3,1379.0,12,35.0,41.0
RC104,Gamma1,1277.0,11,49.5,55.04999999999998
RC104,SAA16-b0p3,1277.0,11,49.5,55.04999999999998
RC105,SAA16-b0p3,1711.0,15,32.0,36.0
RC106,Gamma1,1533.0,14,33.0,35.0
RC106,SAA16-b0p3,1533.0,14,33.0,35.0
RC107,Gamma1,1355.0,12,34.0,39.0
RC107,SAA16-b0p3,1355.0,12,34.0,39.0
RC108,Q120,1367.0,13,55.0,62.0
RC201,SAA16-b0p3,1495.0,9,29.0,30.0
RC202,Gamma1,1341.0,9,38.0,42.0
RC202,SAA16-b0p3,1341.0,9,38.0,42.0
RC203,SAA16-b0p3,1184.0,9,60.0,64.0
RC204,Gamma1,1127.0,9,77.0,81.0
RC204,SAA16-b0p3,1127.0,9,77.0,81.0
RC205,SAA16-b0p3,1463.0,9,32.0,34.0
RC206,Gamma1,1279.0,9,34.0,37.0
RC206,SAA16-b0p3,1279.0,9,34.0,37.0
RC207,SAA16-b0p3,1220.0,9,50.0,53.0
RC208,Gamma1,1080.0,9,76.0,81.0
RC208,SAA16-b0p3,1080.0,9,76.0,81.0
