family,method,instances,feasible_count,feasible_rate_pct,avg_vehicles,avg_distance
C,DET,17,17,100.0,10.0,892.0
C,Q120,17,1,5.9,11.0,953.0
C,SAA16-b0p3,17,17,100.0,10.0,945.5
C,SAA32-b0p5,17,17,100.0,10.0,1018.4
C,SAA64-b0p7,17,17,100.0,10.0,1026.9
C,G1,17,17,100.0,10.24,1259.6
C,G2,17,17,100.0,10.35,1272.7
R,DET,20,20,100.0,9.5,1021.2
R,Q120,23,1,4.3,12.0,1069.0
R,SAA16-b0p3,23,23,100.0,10.78,1176.0
R,SAA32-b0p5,23,23,100.0,10.91,1275.8
R,SAA64-b0p7,23,23,100.0,10.96,1291.0
R,G1,23,17,73.9,10.0,1432.2
R,G2,23,16,69.6,10.06,1446.6
RC,DET,13,13,100.0,9.92,1227.7
RC,Q120,16,1,6.2,13.0,1367.0
RC,SAA16-b0p3,16,16,100.0,11.06,1386.8
RC,SAA32-b0p5,16,16,100.0,11.44,1499.2
RC,SAA64-b0p7,16,16,100.0,11.31,1509.3
RC,G1,16,13,81.2,11.54,1804.8
RC,G2,16,12,75.0,11.5,1828.9
