instance,vehicles_ort,dist_ort,objective_cost,capacity,horizon,feasible_ort,tag,time_limit,meta,vehicle_cost,family,objective_ort
C101,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C102,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C103,10,828.0,828.0,200,1236,True,TL30_MTABU_V0,30,TABU,0,C,828.0
C104,10,842.0,842.0,200,1236,True,TL60_MGLS_V0,60,GLS,0,C,842.0
C105,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C106,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C107,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C108,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C109,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0
C201,10,963.0,963.0,200,3390,True,TL60_MTABU_V0,60,TABU,0,C,963.0
C202,10,955.0,955.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,955.0
C203,10,953.0,953.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,953.0
C204,10,939.0,939.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,939.0
C205,10,952.0,952.0,200,3390,True,TL60_MTABU_V0,60,TABU,0,C,952.0
C206,10,961.0,961.0,200,3390,True,TL10_MGLS_V0,10,GLS,0,C,961.0
C207,10,949.0,949.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,949.0
C208,10,942.0,942.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,942.0
R103,15,1208.0,1208.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1208.0
R104,11,988.0,988.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,988.0
R106,13,1243.0,1243.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1243.0
R107,11,1072.0,1072.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1072.0
R108,10,973.0,973.0,200,230,True,TL30_MGLS_V0,30,GLS,0,R,973.0
R109,13,1165.0,1165.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1165.0
R110,12,1115.0,1115.0,200,230,True,TL60_MTABU_V0,60,TABU,0,R,1115.0
R111,12,1091.0,1091.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1091.0
R112,11,989.0,989.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,989.0
R201,9,1161.0,1161.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,1161.0
R202,8,1053.0,1053.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,1053.0
R203,9,935.0,935.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,935.0
R204,8,855.0,855.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,855.0
R205,8,1011.0,1011.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,1011.0
R206,8,961.0,961.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,961.0
R207,8,899.0,899.0,200,1000,True,TL60_MTABU_V0,60,TABU,0,R,899.0
R208,8,845.0,845.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,845.0
R209,8,966.0,966.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,966.0
R210,8,959.0,959.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,959.0
R211,8,853.0,853.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,853.0
RC103,13,1340.0,1340.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1340.0
RC104,11,1205.0,1205.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1205.0
RC106,14,1399.0,1399.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1399.0
RC107,12,1225.0,1225.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1225.0
RC108,11,1139.0,1139.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1139.0
RC201,9,1348.0,1348.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1348.0
RC202,10,1196.0,1196.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1196.0
RC203,10,1093.0,1093.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1093.0
RC204,9,1042.0,1042.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1042.0
RC205,10,1240.0,1240.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1240.0
RC206,9,1174.0,1174.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1174.0
RC207,9,1212.0,1212.0,200,960,True,TL10_MGLS_V0,10,GLS,0,RC,1212.0
RC208,9,1047.0,1047.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1047.0
