instance,method,ontime_mean,vehicles,total_distance,status,family,distance,dist_base,vehicles_base,delta_dist,pct_improve
C101,SAA16-b0p3,99.41,10.0,890.0,OK,C,890.0,829.0,10.0,61.0,-7.3582629674306395
C102,SAA16-b0p3,99.59,10.0,886.0,OK,C,886.0,829.0,10.0,57.0,-6.875753920386007
C103,SAA16-b0p3,99.795,10.0,916.0,OK,C,916.0,868.0,10.0,48.0,-5.529953917050691
C104,SAA16-b0p3,99.4141414141414,10.0,858.0,OK,C,858.0,859.0,10.0,-1.0,0.11641443538998836
C105,SAA16-b0p3,99.955,10.0,890.0,OK,C,890.0,829.0,10.0,61.0,-7.3582629674306395
C106,SAA16-b0p3,99.74,10.0,888.0,OK,C,888.0,829.0,10.0,59.0,-7.117008443908324
C107,SAA16-b0p3,99.61,10.0,881.0,OK,C,881.0,829.0,10.0,52.0,-6.272617611580217
C108,SAA16-b0p3,99.765,10.0,881.0,OK,C,881.0,829.0,10.0,52.0,-6.272617611580217
C109,SAA16-b0p3,100.0,10.0,903.0,OK,C,903.0,829.0,10.0,74.0,-8.926417370325694
C201,SAA16-b0p3,100.0,10.0,1025.0,OK,C,1025.0,958.0,10.0,67.0,-6.993736951983299
C202,SAA16-b0p3,100.0,10.0,1023.0,OK,C,1023.0,966.0,10.0,57.0,-5.900621118012422
C203,SAA16-b0p3,100.0,10.0,1015.0,OK,C,1015.0,955.0,10.0,60.0,-6.282722513089006
C204,SAA16-b0p3,100.0,10.0,978.0,OK,C,978.0,952.0,10.0,26.0,-2.73109243697479
C205,SAA16-b0p3,100.0,10.0,1019.0,OK,C,1019.0,962.0,10.0,57.0,-5.925155925155925
C206,SAA16-b0p3,99.995,10.0,1011.0,OK,C,1011.0,947.0,10.0,64.0,-6.75818373812038
C207,SAA16-b0p3,100.0,10.0,993.0,OK,C,993.0,946.0,10.0,47.0,-4.968287526427061
C208,SAA16-b0p3,100.0,10.0,1017.0,OK,C,1017.0,948.0,10.0,69.0,-7.2784810126582276
R101,SAA16-b0p3,94.995,20.0,1781.0,NO_METHOD_MET_TARGET,R,1781.0,,,,
R102,SAA16-b0p3,95.54,19.0,1602.0,NO_METHOD_MET_TARGET,R,1602.0,,,,
R103,SAA16-b0p3,95.51,15.0,1310.0,NO_METHOD_MET_TARGET,R,1310.0,1209.0,14.0,101.0,-8.354011579818032
R104,SAA16-b0p3,95.545,10.0,1106.0,NO_METHOD_MET_TARGET,R,1106.0,987.0,10.0,119.0,-12.056737588652481
R105,SAA16-b0p3,94.825,15.0,1488.0,NO_METHOD_MET_TARGET,R,1488.0,,,,
R106,SAA16-b0p3,94.545,13.0,1327.0,NO_METHOD_MET_TARGET,R,1327.0,1238.0,13.0,89.0,-7.189014539579968
