instance,method,ontime_mean,vehicles,total_distance,status
C101,SAA16-b0p3,99.41,10.0,890.0,OK
C102,SAA16-b0p3,99.59,10.0,886.0,OK
C103,SAA16-b0p3,99.795,10.0,916.0,OK
C104,SAA16-b0p3,99.4141414141414,10.0,858.0,OK
C105,SAA16-b0p3,99.955,10.0,890.0,OK
C106,SAA16-b0p3,99.74,10.0,888.0,OK
C107,SAA16-b0p3,99.61,10.0,881.0,OK
C108,SAA16-b0p3,99.765,10.0,881.0,OK
C109,SAA16-b0p3,100.0,10.0,903.0,OK
C201,SAA16-b0p3,100.0,10.0,1025.0,OK
C202,SAA16-b0p3,100.0,10.0,1023.0,OK
C203,SAA16-b0p3,100.0,10.0,1015.0,OK
C204,SAA16-b0p3,100.0,10.0,978.0,OK
C205,SAA16-b0p3,100.0,10.0,1019.0,OK
C206,SAA16-b0p3,99.995,10.0,1011.0,OK
C207,SAA16-b0p3,100.0,10.0,993.0,OK
C208,SAA16-b0p3,100.0,10.0,1017.0,OK
R101,SAA64-b0p7,96.435,20.0,1970.0,NO_METHOD_MET_TARGET
R102,SAA64-b0p7,97.17,19.0,1759.0,NO_METHOD_MET_TARGET
R103,SAA64-b0p7,97.525,15.0,1486.0,NO_METHOD_MET_TARGET
R104,SAA64-b0p7,97.825,11.0,1249.0,NO_METHOD_MET_TARGET
R105,SAA64-b0p7,97.47,15.0,1654.0,NO_METHOD_MET_TARGET
R106,SAA32-b0p5,97.285,14.0,1474.0,NO_METHOD_MET_TARGET
R107,SAA64-b0p7,97.615,12.0,1323.0,NO_METHOD_MET_TARGET
R108,SAA64-b0p7,98.735,11.0,1148.0,NO_METHOD_MET_TARGET
R109,SAA64-b0p7,97.97,13.0,1423.0,NO_METHOD_MET_TARGET
R110,SAA32-b0p5,98.015,12.0,1313.0,NO_METHOD_MET_TARGET
R111,SAA64-b0p7,98.13,12.0,1329.0,NO_METHOD_MET_TARGET
R112,Q120,99.485,12.0,1069.0,OK
R201,SAA16-b0p3,99.73,8.0,1270.0,OK
R202,SAA16-b0p3,99.21,8.0,1171.0,OK
R203,SAA16-b0p3,99.77,8.0,1024.0,OK
R204,SAA16-b0p3,99.95,8.0,930.0,OK
R205,SAA16-b0p3,99.43,8.0,1111.0,OK
R206,SAA16-b0p3,99.02,8.0,1042.0,OK
R207,SAA16-b0p3,99.555,8.0,960.0,OK
R208,SAA16-b0p3,100.0,8.0,905.0,OK
R209,SAA16-b0p3,99.88,8.0,1037.0,OK
R210,SAA16-b0p3,99.745,8.0,1034.0,OK
R211,SAA16-b0p3,99.595,8.0,921.0,OK
RC101,SAA64-b0p7,97.435,17.0,1981.0,NO_METHOD_MET_TARGET
RC102,SAA64-b0p7,96.9,15.0,1753.0,NO_METHOD_MET_TARGET
RC103,SAA32-b0p5,98.6,13.0,1530.0,NO_METHOD_MET_TARGET
RC104,SAA64-b0p7,97.985,11.0,1392.0,NO_METHOD_MET_TARGET
RC105,SAA32-b0p5,97.995,16.0,1810.0,NO_METHOD_MET_TARGET
RC106,SAA32-b0p5,97.745,14.0,1663.0,NO_METHOD_MET_TARGET
RC107,SAA32-b0p5,97.875,12.0,1460.0,NO_METHOD_MET_TARGET
RC108,Q120,99.33,13.0,1367.0,OK
RC201,SAA16-b0p3,99.645,9.0,1495.0,OK
RC202,SAA16-b0p3,99.7,9.0,1341.0,OK
RC203,SAA16-b0p3,99.575,9.0,1184.0,OK
RC204,SAA16-b0p3,100.0,9.0,1127.0,OK
RC205,SAA16-b0p3,99.44,9.0,1463.0,OK
RC206,SAA16-b0p3,99.835,9.0,1279.0,OK
RC207,SAA16-b0p3,99.255,9.0,1220.0,OK
RC208,SAA16-b0p3,99.65,9.0,1080.0,OK
