instance,family,method,vehicles,distance,runtime_sec,ontime_p50,ontime_p95
C101,C,CHAMPION(SAA16-b0p3),10.0,890.0,,100.0,100.0
C101,C,DET,10.0,829.0,,20.0,20.0
C101,C,Q120,,,,,
C102,C,CHAMPION(SAA16-b0p3),10.0,886.0,,100.0,100.0
C102,C,DET,10.0,829.0,,31.0,31.0
C102,C,Q120,,,,,
C103,C,CHAMPION(SAA16-b0p3),10.0,916.0,,100.0,100.0
C103,C,DET,10.0,868.0,,48.0,49.0
C103,C,Q120,,,,,
C104,C,CHAMPION(SAA16-b0p3),10.0,858.0,,100.0,100.0
C104,C,DET,10.0,859.0,,71.0,72.0
C104,C,Q120,,,,,
C105,C,CHAMPION(SAA16-b0p3),10.0,890.0,,100.0,100.0
C105,C,DET,10.0,829.0,,20.0,20.0
C105,C,Q120,,,,,
C106,C,CHAMPION(SAA16-b0p3),10.0,888.0,,100.0,100.0
C106,C,DET,10.0,829.0,,21.0,22.0
C106,C,Q120,,,,,
C107,C,CHAMPION(SAA16-b0p3),10.0,881.0,,100.0,100.0
C107,C,DET,10.0,829.0,,21.0,21.0
C107,C,Q120,,,,,
C108,C,CHAMPION(SAA16-b0p3),10.0,881.0,,100.0,100.0
C108,C,DET,10.0,829.0,,24.0,25.0
C108,C,Q120,,,,,
C109,C,CHAMPION(SAA16-b0p3),10.0,903.0,,100.0,100.0
C109,C,DET,10.0,829.0,,33.0,34.0
C109,C,Q120,11.0,953.0,,100.0,100.0
C201,C,CHAMPION(SAA16-b0p3),10.0,1025.0,,100.0,100.0
C201,C,DET,10.0,958.0,,30.0,30.0
C201,C,Q120,,,,,
C202,C,CHAMPION(SAA16-b0p3),10.0,1023.0,,100.0,100.0
C202,C,DET,10.0,966.0,,57.0,57.0
C202,C,Q120,,,,,
C203,C,CHAMPION(SAA16-b0p3),10.0,1015.0,,100.0,100.0
C203,C,DET,10.0,955.0,,68.0,69.0
C203,C,Q120,,,,,
C204,C,CHAMPION(SAA16-b0p3),10.0,978.0,,100.0,100.0
C204,C,DET,10.0,952.0,,80.0,80.0
C204,C,Q120,,,,,
C205,C,CHAMPION(SAA16-b0p3),10.0,1019.0,,100.0,100.0
C205,C,DET,10.0,962.0,,38.0,40.0
C205,C,Q120,,,,,
C206,C,CHAMPION(SAA16-b0p3),10.0,1011.0,,100.0,100.0
C206,C,DET,10.0,947.0,,41.0,41.0
C206,C,Q120,,,,,
C207,C,CHAMPION(SAA16-b0p3),10.0,993.0,,100.0,100.0
C207,C,DET,10.0,946.0,,40.0,40.0
C207,C,Q120,,,,,
C208,C,CHAMPION(SAA16-b0p3),10.0,1017.0,,100.0,100.0
C208,C,DET,10.0,948.0,,46.0,46.0
C208,C,Q120,,,,,
R101,R,CHAMPION(SAA64-b0p7),20.0,1970.0,,100.0,100.0
R101,R,Q120,,,,,
R102,R,CHAMPION(SAA64-b0p7),19.0,1759.0,,100.0,100.0
R102,R,Q120,,,,,
R103,R,CHAMPION(SAA64-b0p7),15.0,1486.0,,100.0,100.0
R103,R,DET,14.0,1209.0,,33.0,37.0
R103,R,Q120,,,,,
R104,R,CHAMPION(SAA64-b0p7),11.0,1249.0,,100.0,100.0
R104,R,DET,10.0,987.0,,35.0,39.0
R104,R,Q120,,,,,
R105,R,CHAMPION(SAA64-b0p7),15.0,1654.0,,100.0,100.0
R105,R,Q120,,,,,
R106,R,CHAMPION(SAA32-b0p5),14.0,1474.0,,100.0,100.0
R106,R,DET,13.0,1238.0,,33.0,36.0
R106,R,Q120,,,,,
R107,R,CHAMPION(SAA64-b0p7),12.0,1323.0,,100.0,100.0
R107,R,DET,11.0,1088.0,,35.0,38.04999999999998
R107,R,Q120,,,,,
R108,R,CHAMPION(SAA64-b0p7),11.0,1148.0,,100.0,100.0
R108,R,DET,10.0,960.0,,40.0,49.0
R108,R,Q120,,,,,
R109,R,CHAMPION(SAA64-b0p7),13.0,1423.0,,100.0,100.0
R109,R,DET,12.0,1185.0,,25.0,28.0
R109,R,Q120,,,,,
R110,R,CHAMPION(SAA32-b0p5),12.0,1313.0,,100.0,100.0
R110,R,DET,11.0,1132.0,,28.0,32.0
R110,R,Q120,,,,,
