instance,champion_p50,best_baseline_p50,delta_p50
C101,24.0,24.0,0.0
C102,38.0,38.0,0.0
C103,53.0,53.0,0.0
C104,74.74747474747475,74.74747474747475,0.0
C105,21.0,21.0,0.0
C106,23.0,23.0,0.0
C107,23.0,23.0,0.0
C108,26.0,26.0,0.0
C109,38.0,38.0,0.0
C201,29.0,29.0,0.0
C202,59.0,59.0,0.0
C203,73.0,73.0,0.0
C204,87.0,87.0,0.0
C205,33.0,33.0,0.0
C206,35.0,35.0,0.0
C207,47.0,47.0,0.0
C208,43.0,43.0,0.0
R101,31.0,31.0,0.0
R102,39.0,39.0,0.0
R103,36.0,36.0,0.0
R104,36.0,36.0,0.0
R105,27.0,27.0,0.0
R106,31.0,31.0,0.0
R107,45.0,45.0,0.0
R108,53.0,53.0,0.0
R109,33.0,33.0,0.0
R110,39.0,39.0,0.0
R111,48.0,48.0,0.0
R112,47.5,47.5,0.0
R201,28.0,28.0,0.0
R202,36.0,36.0,0.0
R203,55.0,55.0,0.0
R204,84.0,84.0,0.0
R205,32.0,32.0,0.0
R206,46.5,46.5,0.0
R207,68.0,68.0,0.0
R208,92.0,92.0,0.0
R209,51.0,51.0,0.0
R210,60.0,60.0,0.0
R211,75.0,75.0,0.0
RC101,27.0,27.0,0.0
RC102,35.0,35.0,0.0
RC103,49.0,49.0,0.0
RC104,56.0,56.0,0.0
RC105,32.0,32.0,0.0
RC106,39.0,39.0,0.0
RC107,40.0,40.0,0.0
RC108,55.0,55.0,0.0
RC201,29.0,29.0,0.0
RC202,43.0,43.0,0.0
RC203,60.0,60.0,0.0
RC204,83.0,83.0,0.0
RC205,32.0,32.0,0.0
RC206,40.0,40.0,0.0
RC207,50.0,50.0,0.0
RC208,77.0,77.0,0.0
