instance,family,method,vehicles,distance,ontime_p50,ontime_p95,ontime_mean,runtime_s
C101,C,SAA16-b0p3,10.0,890.0,100.0,100.0,,
C102,C,SAA16-b0p3,10.0,886.0,100.0,100.0,,
C103,C,SAA16-b0p3,10.0,916.0,100.0,100.0,,
C104,C,SAA16-b0p3,10.0,858.0,100.0,100.0,,
C105,C,SAA16-b0p3,10.0,890.0,100.0,100.0,,
C106,C,SAA16-b0p3,10.0,888.0,100.0,100.0,,
C107,C,SAA16-b0p3,10.0,881.0,100.0,100.0,,
C108,C,SAA16-b0p3,10.0,881.0,100.0,100.0,,
C109,C,SAA16-b0p3,10.0,903.0,100.0,100.0,,
C201,C,SAA16-b0p3,10.0,1025.0,100.0,100.0,,
C202,C,SAA16-b0p3,10.0,1023.0,100.0,100.0,,
C203,C,SAA16-b0p3,10.0,1015.0,100.0,100.0,,
C204,C,SAA16-b0p3,10.0,978.0,100.0,100.0,,
C205,C,SAA16-b0p3,10.0,1019.0,100.0,100.0,,
C206,C,SAA16-b0p3,10.0,1011.0,100.0,100.0,,
C207,C,SAA16-b0p3,10.0,993.0,100.0,100.0,,
C208,C,SAA16-b0p3,10.0,1017.0,100.0,100.0,,
R101,R,SAA16-b0p3,20.0,1781.0,99.0,100.0,,
R102,R,SAA16-b0p3,19.0,1602.0,100.0,100.0,,
R103,R,SAA16-b0p3,15.0,1310.0,99.0,100.0,,
R104,R,SAA16-b0p3,10.0,1106.0,99.5,100.0,,
R105,R,SAA16-b0p3,15.0,1488.0,100.0,100.0,,
R106,R,SAA16-b0p3,13.0,1327.0,100.0,100.0,,
R107,R,SAA16-b0p3,11.0,1183.0,100.0,100.0,,
R108,R,SAA16-b0p3,10.0,1059.0,100.0,100.0,,
R109,R,SAA16-b0p3,13.0,1292.0,100.0,100.0,,
R110,R,SAA16-b0p3,12.0,1207.0,100.0,100.0,,
R111,R,SAA16-b0p3,12.0,1169.0,99.0,100.0,,
R112,R,Q120,12.0,1069.0,100.0,100.0,,
R201,R,SAA16-b0p3,8.0,1270.0,100.0,100.0,,
R202,R,SAA16-b0p3,8.0,1171.0,100.0,100.0,,
R203,R,SAA16-b0p3,8.0,1024.0,100.0,100.0,,
R204,R,SAA16-b0p3,8.0,930.0,100.0,100.0,,
R205,R,SAA16-b0p3,8.0,1111.0,100.0,100.0,,
R206,R,SAA16-b0p3,8.0,1042.0,100.0,100.0,,
R207,R,SAA16-b0p3,8.0,960.0,100.0,100.0,,
R208,R,SAA16-b0p3,8.0,905.0,100.0,100.0,,
R209,R,SAA16-b0p3,8.0,1037.0,100.0,100.0,,
R210,R,SAA16-b0p3,8.0,1034.0,100.0,100.0,,
R211,R,SAA16-b0p3,8.0,921.0,100.0,100.0,,
RC101,RC,SAA16-b0p3,16.0,1792.0,99.0,100.0,,
RC102,RC,SAA16-b0p3,14.0,1667.0,100.0,100.0,,
RC103,RC,SAA16-b0p3,12.0,1379.0,100.0,100.0,,
RC104,RC,SAA16-b0p3,11.0,1277.0,100.0,100.0,,
RC105,RC,SAA16-b0p3,15.0,1711.0,99.0,100.0,,
RC106,RC,SAA16-b0p3,14.0,1533.0,99.5,100.0,,
RC107,RC,SAA16-b0p3,12.0,1355.0,99.0,100.0,,
RC108,RC,Q120,13.0,1367.0,100.0,100.0,,
RC201,RC,SAA16-b0p3,9.0,1495.0,100.0,100.0,,
RC202,RC,SAA16-b0p3,9.0,1341.0,100.0,100.0,,
RC203,RC,SAA16-b0p3,9.0,1184.0,100.0,100.0,,
RC204,RC,SAA16-b0p3,9.0,1127.0,100.0,100.0,,
RC205,RC,SAA16-b0p3,9.0,1463.0,100.0,100.0,,
RC206,RC,SAA16-b0p3,9.0,1279.0,100.0,100.0,,
RC207,RC,SAA16-b0p3,9.0,1220.0,100.0,100.0,,
RC208,RC,SAA16-b0p3,9.0,1080.0,100.0,100.0,,
