instance,vehicles_base,dist_base,capacity,horizon,feasible_base,vehicles_final,dist_final,feasible_final,family,delta_dist,pct_improve,delta_veh
C101,10,878.362,200,1236.0,True,10,829.0,True,C,-49.361999999999966,5.619778633410823,0
C102,10,1014.542,200,1236.0,True,10,829.0,True,C,-185.54200000000003,18.28825223598432,0
C103,11,1262.756,200,1236.0,True,10,868.0,True,C,-394.7560000000001,31.26146302215155,-1
C104,10,1171.828,200,1236.0,True,10,859.0,True,C,-312.828,26.69572667661124,0
C105,10,934.356,200,1236.0,True,10,829.0,True,C,-105.356,11.275787815350892,0
C106,10,1032.703,200,1236.0,True,10,829.0,True,C,-203.70299999999997,19.72522593620818,0
C107,10,934.356,200,1236.0,True,10,829.0,True,C,-105.356,11.275787815350892,0
C108,11,1269.003,200,1236.0,True,10,829.0,True,C,-440.00299999999993,34.67312528023968,-1
C109,10,1107.547,200,1236.0,True,10,829.0,True,C,-278.547,25.14990334495963,0
C201,10,1210.044,200,3390.0,True,10,958.0,True,C,-252.0440000000001,20.8293252146203,0
C202,10,1202.993,200,3390.0,True,10,966.0,True,C,-236.99299999999994,19.7002808827649,0
C203,10,1347.518,200,3390.0,True,10,955.0,True,C,-392.51800000000003,29.128961542628744,0
C204,10,1280.145,200,3390.0,True,10,952.0,True,C,-328.145,25.63342433864914,0
C205,10,1327.728,200,3390.0,True,10,962.0,True,C,-365.72800000000007,27.545400865237458,0
C206,10,1172.607,200,3390.0,True,10,947.0,True,C,-225.60699999999997,19.23977939753046,0
C207,10,1281.909,200,3390.0,True,10,946.0,True,C,-335.9090000000001,26.203810098844773,0
C208,10,1320.202,200,3390.0,True,10,948.0,True,C,-372.202,28.192806858344404,0
R103,17,1825.544,200,230.0,True,14,1209.0,True,R,-616.5440000000001,33.773165697457856,-3
R104,11,1257.463,200,230.0,True,10,987.0,True,R,-270.46299999999997,21.50862490586204,-1
R106,16,1796.607,200,230.0,True,13,1238.0,True,R,-558.607,31.092331266659876,-3
R107,14,1598.799,200,230.0,True,11,1088.0,True,R,-510.799,31.948919157442553,-3
R108,11,1253.493,200,230.0,True,10,960.0,True,R,-293.49299999999994,23.414011885188028,-1
R109,14,1540.607,200,230.0,True,12,1185.0,True,R,-355.60699999999997,23.082265626470605,-2
R110,15,1671.843,200,230.0,True,11,1132.0,True,R,-539.8430000000001,32.29029280859507,-4
R111,14,1580.005,200,230.0,True,11,1073.0,True,R,-507.0050000000001,32.08882250372626,-3
R112,12,1405.221,200,230.0,True,10,966.0,True,R,-439.221,31.25636465723185,-2
R201,9,1606.737,200,1000.0,True,8,1195.0,True,R,-411.7370000000001,25.625662445067245,-1
R202,8,1588.118,200,1000.0,True,8,1073.0,True,R,-515.1179999999999,32.435750995832805,0
R203,8,1452.873,200,1000.0,True,8,957.0,True,R,-495.87300000000005,34.13051243983473,0
R204,8,1091.124,200,1000.0,True,8,843.0,True,R,-248.12400000000002,22.740220176625204,0
R205,8,1426.214,200,1000.0,True,8,1018.0,True,R,-408.21399999999994,28.622212374860993,0
R206,8,1494.905,200,1000.0,True,8,962.0,True,R,-532.905,35.648084660898185,0
R207,8,1170.855,200,1000.0,True,8,904.0,True,R,-266.855,22.79146435724321,0
R208,8,1221.111,200,1000.0,True,8,846.0,True,R,-375.1110000000001,30.718829000803375,0
R209,8,1439.954,200,1000.0,True,8,948.0,True,R,-491.95399999999995,34.1645635902258,0
R210,8,1216.901,200,1000.0,True,8,982.0,True,R,-234.90100000000007,19.303213655013845,0
R211,8,1267.116,200,1000.0,True,8,859.0,True,R,-408.116,32.20825875452603,0
RC103,14,1953.447,200,240.0,True,12,1341.0,True,RC,-612.4469999999999,31.352117564489845,-2
RC104,13,1697.103,200,240.0,True,10,1188.0,True,RC,-509.10300000000007,29.998356021997488,-3
RC106,15,1851.026,200,240.0,True,13,1400.0,True,RC,-451.02600000000007,24.366270381939533,-2
RC107,14,1780.528,200,240.0,True,11,1254.0,True,RC,-526.528,29.571452962267372,-3
RC108,14,1694.264,200,240.0,True,11,1170.0,True,RC,-524.2639999999999,30.9434657172672,-3
RC201,9,1938.93,200,960.0,True,9,1418.0,True,RC,-520.9300000000001,26.866880186494615,0
RC202,10,1707.81,200,960.0,True,9,1291.0,True,RC,-416.80999999999995,24.406110750024883,-1
RC203,9,1489.26,200,960.0,True,9,1123.0,True,RC,-366.26,24.59342223654701,0
RC204,9,1354.573,200,960.0,True,9,1043.0,True,RC,-311.5730000000001,23.0015658070846,0
RC205,9,1661.873,200,960.0,True,9,1283.0,True,RC,-378.87300000000005,22.797951468012297,0
RC206,9,1893.329,200,960.0,True,9,1240.0,True,RC,-653.329,34.506892357324055,0
RC207,9,1527.216,200,960.0,True,9,1161.0,True,RC,-366.2159999999999,23.97931923185718,0
RC208,9,1396.045,200,960.0,True,9,1018.0,True,RC,-378.0450000000001,27.079714479117797,0
