family,tag,success_rate_%
C,TL10_MGLS_V0,100.0
C,TL10_MGLS_V10000,100.0
C,TL10_MTABU_V0,100.0
C,TL10_MTABU_V10000,100.0
C,TL30_MGLS_V0,100.0
C,TL30_MGLS_V10000,100.0
C,TL30_MTABU_V0,100.0
C,TL30_MTABU_V10000,100.0
C,TL60_MGLS_V0,100.0
C,TL60_MGLS_V10000,100.0
C,TL60_MTABU_V0,100.0
C,TL60_MTABU_V10000,100.0
R,TL10_MGLS_V0,100.0
R,TL10_MGLS_V10000,100.0
R,TL10_MTABU_V0,100.0
R,TL10_MTABU_V10000,100.0
R,TL30_MGLS_V0,100.0
R,TL30_MGLS_V10000,100.0
R,TL30_MTABU_V0,100.0
R,TL30_MTABU_V10000,100.0
R,TL60_MGLS_V0,100.0
R,TL60_MGLS_V10000,100.0
R,TL60_MTABU_V0,100.0
R,TL60_MTABU_V10000,100.0
RC,TL10_MGLS_V0,100.0
RC,TL10_MGLS_V10000,100.0
RC,TL10_MTABU_V0,100.0
RC,TL10_MTABU_V10000,100.0
RC,TL30_MGLS_V0,100.0
RC,TL30_MGLS_V10000,100.0
RC,TL30_MTABU_V0,100.0
RC,TL30_MTABU_V10000,100.0
RC,TL60_MGLS_V0,100.0
RC,TL60_MGLS_V10000,100.0
RC,TL60_MTABU_V0,100.0
RC,TL60_MTABU_V10000,100.0
