instance,method,family,distance,vehicles,ontime_p50,ontime_p95,ontime_mean,feasible
C101,DET,C,829.0,10,99.05,99.58,97.49,True
C101,Q120,C,,0,,,,
C101,Q1405,C,,0,,,,
C101,SAA16-b0p3,C,890.0,10,20.0,20.0,20.0,True
C101,SAA32-b0p5,C,957.0,10,20.0,20.0,20.0,True
C101,SAA64-b0p7,C,976.0,10,20.0,20.0,20.0,True
C101,Gamma1,C,1495.526,12,24.0,24.0,24.0,True
C101,Gamma2,C,1534.4,13,24.0,24.0,24.0,True
C102,DET,C,829.0,10,99.05,99.58,97.49,True
C102,Q120,C,,0,,,,
C102,Q1405,C,,0,,,,
C102,SAA16-b0p3,C,886.0,10,29.0,29.0,29.0,True
C102,SAA32-b0p5,C,954.0,10,29.0,29.0,29.0,True
C102,SAA64-b0p7,C,974.0,10,29.0,29.0,29.0,True
C102,Gamma1,C,1401.865,11,38.0,38.0,38.0,True
C102,Gamma2,C,1385.34,11,38.0,38.0,38.0,True
C103,DET,C,868.0,10,99.05,99.58,97.49,True
C103,Q120,C,,0,,,,
C103,Q1405,C,,0,,,,
C103,SAA16-b0p3,C,916.0,10,51.0,51.0,51.0,True
C103,SAA32-b0p5,C,982.0,10,51.0,51.0,51.0,True
C103,SAA64-b0p7,C,963.0,10,51.0,51.0,51.0,True
C103,Gamma1,C,1235.549,10,53.0,55.0,54.0,True
C103,Gamma2,C,1262.56,10,53.0,55.0,54.0,True
C104,DET,C,859.0,10,99.05,99.58,97.49,True
C104,Q120,C,,0,,,,
C104,Q1405,C,,0,,,,
C104,SAA16-b0p3,C,858.0,10,70.71,70.71,70.71,True
C104,SAA32-b0p5,C,984.0,10,70.71,70.71,70.71,True
C104,SAA64-b0p7,C,947.0,10,70.71,70.71,70.71,True
C104,Gamma1,C,1193.012,10,74.75,74.75,74.75,True
C104,Gamma2,C,1237.22,10,74.75,74.75,74.75,True
C105,DET,C,829.0,10,99.05,99.58,97.49,True
C105,Q120,C,,0,,,,
C105,Q1405,C,,0,,,,
C105,SAA16-b0p3,C,890.0,10,21.0,21.0,21.0,True
C105,SAA32-b0p5,C,957.0,10,21.0,21.0,21.0,True
