instance,vehicles,total_distance,capacity,horizon,feasible
C101,10,878.362,200,1236.0,True
C102,10,1014.542,200,1236.0,True
C103,11,1262.756,200,1236.0,True
C104,10,1171.828,200,1236.0,True
C105,10,934.356,200,1236.0,True
C106,10,1032.703,200,1236.0,True
C107,10,934.356,200,1236.0,True
C108,11,1269.003,200,1236.0,True
C109,10,1107.547,200,1236.0,True
C201,10,1210.044,200,3390.0,True
C202,10,1202.993,200,3390.0,True
C203,10,1347.518,200,3390.0,True
C204,10,1280.145,200,3390.0,True
C205,10,1327.728,200,3390.0,True
C206,10,1172.607,200,3390.0,True
C207,10,1281.909,200,3390.0,True
C208,10,1320.202,200,3390.0,True
R101,21,2127.091,200,230.0,True
R102,18,1794.68,200,230.0,True
R103,17,1825.544,200,230.0,True
R104,11,1257.463,200,230.0,True
R105,16,1779.216,200,230.0,True
R106,16,1796.607,200,230.0,True
R107,14,1598.799,200,230.0,True
R108,11,1253.493,200,230.0,True
R109,14,1540.607,200,230.0,True
R110,15,1671.843,200,230.0,True
R111,14,1580.005,200,230.0,True
R112,12,1405.221,200,230.0,True
R201,9,1606.737,200,1000.0,True
R202,8,1588.118,200,1000.0,True
R203,8,1452.873,200,1000.0,True
R204,8,1091.124,200,1000.0,True
R205,8,1426.214,200,1000.0,True
R206,8,1494.905,200,1000.0,True
R207,8,1170.855,200,1000.0,True
R208,8,1221.111,200,1000.0,True
R209,8,1439.954,200,1000.0,True
R210,8,1216.901,200,1000.0,True
R211,8,1267.116,200,1000.0,True
RC101,18,2184.86,200,240.0,True
RC102,16,2006.096,200,240.0,True
RC103,14,1953.447,200,240.0,True
RC104,13,1697.103,200,240.0,True
RC105,17,2267.178,200,240.0,True
RC106,15,1851.026,200,240.0,True
RC107,14,1780.528,200,240.0,True
RC108,14,1694.264,200,240.0,True
RC201,9,1938.93,200,960.0,True
RC202,10,1707.81,200,960.0,True
RC203,9,1489.26,200,960.0,True
RC204,9,1354.573,200,960.0,True
RC205,9,1661.873,200,960.0,True
RC206,9,1893.329,200,960.0,True
RC207,9,1527.216,200,960.0,True
RC208,9,1396.045,200,960.0,True
