instance,vehicles,total_distance,capacity,horizon,feasible
C101,10,976.0,200,1236.0,True
C102,10,974.0,200,1236.0,True
C103,10,963.0,200,1236.0,True
C104,10,947.0,200,1236.0,True
C105,10,976.0,200,1236.0,True
C106,10,976.0,200,1236.0,True
C107,10,976.0,200,1236.0,True
C108,10,968.0,200,1236.0,True
C109,10,971.0,200,1236.0,True
C201,10,1100.0,200,3390.0,True
C202,10,1091.0,200,3390.0,True
C203,10,1089.0,200,3390.0,True
C204,10,1077.0,200,3390.0,True
C205,10,1109.0,200,3390.0,True
C206,10,1091.0,200,3390.0,True
C207,10,1084.0,200,3390.0,True
C208,10,1090.0,200,3390.0,True
R101,20,1970.0,200,230.0,True
R102,19,1759.0,200,230.0,True
R103,15,1486.0,200,230.0,True
R104,11,1249.0,200,230.0,True
R105,15,1654.0,200,230.0,True
R106,13,1519.0,200,230.0,True
R107,12,1323.0,200,230.0,True
R108,11,1148.0,200,230.0,True
R109,13,1423.0,200,230.0,True
R110,12,1311.0,200,230.0,True
R111,12,1329.0,200,230.0,True
R112,11,1155.0,200,230.0,True
R201,8,1405.0,200,1000.0,True
R202,8,1261.0,200,1000.0,True
R203,8,1112.0,200,1000.0,True
R204,8,991.0,200,1000.0,True
R205,8,1208.0,200,1000.0,True
R206,8,1118.0,200,1000.0,True
R207,8,1056.0,200,1000.0,True
R208,8,986.0,200,1000.0,True
R209,8,1095.0,200,1000.0,True
R210,8,1120.0,200,1000.0,True
R211,8,1015.0,200,1000.0,True
RC101,17,1981.0,200,240.0,True
RC102,15,1753.0,200,240.0,True
RC103,13,1578.0,200,240.0,True
RC104,11,1392.0,200,240.0,True
RC105,16,1841.0,200,240.0,True
RC106,14,1724.0,200,240.0,True
RC107,12,1529.0,200,240.0,True
RC108,11,1424.0,200,240.0,True
RC201,9,1627.0,200,960.0,True
RC202,9,1395.0,200,960.0,True
RC203,9,1294.0,200,960.0,True
RC204,9,1207.0,200,960.0,True
RC205,9,1495.0,200,960.0,True
RC206,9,1427.0,200,960.0,True
RC207,9,1337.0,200,960.0,True
RC208,9,1145.0,200,960.0,True
