instance,method,method_family,vehicles,distance,ontime_p50,ontime_p95,meets_SLA
C101,Gamma2-q1p645,Gamma,10,855.1,99.3,100.0,True
C102,SAA32-b0p5,SAA,10,907.9,99.3,100.0,True
C103,Q120,Q,10,927.3,99.3,100.0,True
C104,SAA16-b0p3,SAA,10,855.1,99.4,100.0,True
C105,Gamma2-q1p645,Gamma,10,881.3,99.0,99.8,True
C106,DET,DET,10,922.8,99.3,100.0,True
C107,Gamma1-q1p645,Gamma,11,881.5,99.3,99.9,True
C108,SAA16-b0p3,SAA,10,899.9,99.2,100.0,True
C109,SAA32-b0p5,SAA,10,902.8,99.1,100.0,True
C201,Q120,Q,10,1039.3,97.7,99.6,True
C202,Q120,Q,10,1037.7,99.4,100.0,True
C203,DET,DET,10,1045.7,98.1,99.7,True
C204,Q110,Q,10,1024.9,98.2,100.0,True
C205,Q120,Q,10,941.9,98.0,99.4,True
C206,Q120,Q,10,986.7,98.3,99.3,True
C207,Q120,Q,10,983.2,98.7,99.8,True
C208,DET,DET,10,952.9,98.3,99.9,True
R101,Q110,Q,16,1614.3,97.7,98.4,True
R102,DET,DET,15,1754.5,96.6,97.8,True
R103,DET,DET,11,1238.9,98.6,99.4,True
R104,DET,DET,19,1259.2,96.0,97.8,True
R105,Q110,Q,19,1682.8,97.3,98.8,True
R106,DET,DET,12,1381.8,99.1,99.7,True
R107,Q130,Q,17,1484.0,97.7,99.2,True
R108,DET,DET,18,1128.2,95.8,97.3,True
R109,DET,DET,14,1221.1,97.3,98.8,True
R110,Q120,Q,17,1600.0,97.4,98.4,True
R111,Q120,Q,18,1239.1,96.5,98.1,True
R112,Q120,Q,14,1430.1,98.7,99.2,True
R201,DET,DET,8,1058.2,98.0,99.6,True
R202,Q110,Q,7,984.2,98.3,99.7,True
R203,DET,DET,7,1178.4,97.1,97.8,True
R204,Q120,Q,8,1243.8,97.9,99.4,True
R205,Q130,Q,9,1158.6,98.2,99.9,True
R206,DET,DET,9,1018.3,98.3,99.8,True
R207,Q110,Q,8,1157.5,97.4,99.1,True
R208,Q110,Q,9,1124.3,98.0,99.3,True
R209,DET,DET,9,1121.4,97.7,99.6,True
R210,Q120,Q,7,1169.7,97.2,99.1,True
R211,DET,DET,7,914.8,97.8,98.9,True
RC101,Q120,Q,14,1291.1,97.6,98.2,True
RC102,Q110,Q,14,1348.3,97.6,98.1,True
RC103,Q110,Q,16,1544.7,96.4,97.6,True
RC104,DET,DET,16,1764.9,96.0,97.7,True
RC105,DET,DET,14,1417.2,99.0,99.6,True
RC106,DET,DET,16,1312.2,96.9,98.5,True
RC107,Q120,Q,13,1675.7,98.1,99.0,True
RC108,Q110,Q,16,1307.2,97.0,98.7,True
